american_alligator,asian_elephant,axolotl,black_iguana,blue_macaw,coyote,crested_caracara,green_turtle,ocelot,resplendent_quetzal,BIOME,BIO1,BIO4,BIO5,BIO6,BIO12,BIO15,BIO17,BIO18
0,0,0,0,0,1,0,0,0,0,99.0,-3.0557914310031467,1022.2348090277778,16.91115993923611,-21.584716796875,566.6388888888889,35.77134535047743,82.83333333333333,191.36111111111111
0,0,0,0,0,1,0,0,0,0,6.0,-3.0557914310031467,1022.2348090277778,16.91115993923611,-21.584716796875,566.6388888888889,35.77134535047743,82.83333333333333,191.36111111111111
0,0,0,0,0,1,0,0,0,0,11.0,-3.193295372856988,1220.8959418402778,19.881612141927082,-24.983829074435764,281.47222222222223,67.40208604600694,27.583333333333332,144.80555555555554
0,0,0,0,0,1,0,0,0,0,6.0,-3.193295372856988,1220.8959418402778,19.881612141927082,-24.983829074435764,281.47222222222223,67.40208604600694,27.583333333333332,144.80555555555554
0,0,0,0,0,1,0,0,0,0,11.0,-4.953220791286892,1119.872829861111,16.966137356228298,-23.53365241156684,297.47222222222223,85.21621365017361,27.36111111111111,177.72222222222223
0,0,0,0,0,1,0,0,0,0,99.0,-4.953220791286892,1119.872829861111,16.966137356228298,-23.53365241156684,297.47222222222223,85.21621365017361,27.36111111111111,177.72222222222223
0,0,0,0,0,1,0,0,0,0,6.0,-4.953220791286892,1119.872829861111,16.966137356228298,-23.53365241156684,297.47222222222223,85.21621365017361,27.36111111111111,177.72222222222223
0,0,0,0,0,1,0,0,0,0,11.0,-3.9968134562174478,1346.8561197916667,21.011778089735245,-26.342709011501736,273.1111111111111,84.70780436197917,20.75,163.41666666666666
0,0,0,0,0,1,0,0,0,0,6.0,-3.9968134562174478,1346.8561197916667,21.011778089735245,-26.342709011501736,273.1111111111111,84.70780436197917,20.75,163.41666666666666
0,0,0,0,0,1,0,0,0,0,11.0,-4.561010996500651,1113.9346788194443,17.38153584798177,-24.295472886827255,360.0,62.43628607855903,43.19444444444444,176.5
0,0,0,0,0,1,0,0,0,0,99.0,-4.561010996500651,1113.9346788194443,17.38153584798177,-24.295472886827255,360.0,62.43628607855903,43.19444444444444,176.5
0,0,0,0,0,1,0,0,0,0,6.0,-4.561010996500651,1113.9346788194443,17.38153584798177,-24.295472886827255,360.0,62.43628607855903,43.19444444444444,176.5
0,0,0,0,0,1,0,0,0,0,11.0,-4.59508302476671,1164.0354817708333,18.184639824761284,-24.47945827907986,282.19444444444446,81.38406711154514,26.11111111111111,163.66666666666666
0,0,0,0,0,1,0,0,0,0,99.0,-4.59508302476671,1164.0354817708333,18.184639824761284,-24.47945827907986,282.19444444444446,81.38406711154514,26.11111111111111,163.66666666666666
0,0,0,0,0,1,0,0,0,0,6.0,-4.59508302476671,1164.0354817708333,18.184639824761284,-24.47945827907986,282.19444444444446,81.38406711154514,26.11111111111111,163.66666666666666
